URL,Title,Price,Location,Description,Attributes,Property Type,Rooms,Den Included,Number of Bathrooms,Latitude,Longitude,Parking Included,Utilities Included,Pet Friendly,Size (sqft),Furnished,Building Name,Distance from Hospital,Distance from Police Station,Distance to Nearest Store,Distance to Nearest Pharmacy,Walk Score,Transit Score,Bike Score,Time to Nearest Hospital,Time to Nearest Police Station,Time to Nearest Store,Time to Nearest Pharmacy
https://www.kijiji.ca/v-apartments-condos/city-of-halifax/house-for-rent/1689316493,House for rent,3900,"Tower Road, Halifax, NS","Available medium term (furnished) or long term (unfurnished). Located in the South End of Halifax on Tower Road. Close to Point Pleasant Park, the hospitals, universities, and downtown Halifax. The charming Victorian home has been fully renovated and boasts 10-foot ceilings, original plaster crown moldings, and high baseboards. Main Floor â The home has a large kitchen with a natural stone floor, hardwood floors in the living and dining rooms (which each have non-working fireplaces), and a powder room. Upper-level - Features hardwood floors, 2 larger carpeted bedrooms, a smaller bedroom/home office, a washer and dryer, an enormous master bathroom with marble floors, a clawfoot soaker tub, and a shower. Basement/Other - It has unfinished basement perfect for storage only, a deck, and parking for one car. Basic internet can be included but the home is wired if high performance internet is provided by the tenant. Central vacuum throughout home. It is heated with a new propane hot water boiler as well as a heat pump for efficient heating and air conditioning. If long term tenant pays all utilities. No smoking, no pets. All applicants will be required to provide previous landlord references, and employment references.
Immediate possession. Please contact if date of possession is close but needs to be negotiated.","Parking Included: 1; Agreement Type: 1 Year; Move-In Date: April 1, 2024; Pet Friendly: No; Parking Included: 1; Utilities Included: Water | Size (sqft): 2,000; Furnished: No; Air Conditioning: Yes; Smoking Permitted: No",House,3,0,2,44.6316951,-63.5779339,1,1,0,"2,000",0,,1334,1570,1043,993,89,65,80,243,257,186,217
https://www.kijiji.ca/v-apartments-condos/city-of-halifax/11-052-2-level-semi-detached-in-lower-sackville/1688743994,"11-052 2 level semi detached in Lower Sackville,",2100,"Beaverbank Rd, Lower sackville, NS, B4E 1G4","Description Freshly painted, nicely renovated, 2-level is well located in Lower Sackville. It is near Sackville Drive, with easy highway access, and just a few minutes drive from shops, and services. The main level has eat-in kitchen with new cabinets and countertops, living room with door to large sundeck, and den which includes washer dryer hook ups. Carpet free throughout. There are 3 bedrooms upstairs and one full bath. The tenant pays for all utilities. No dogs, please. Nonsmokers. Available now on a yearly lease. Halifax Quality Homes for Rent Ltd. 902-445-4952 For a complete list of available houses, flats and condos visit us at www.HalifaxQualityHomes.com","Parking Included: 2; Agreement Type: 1 Year; Move-In Date: April 1, 2024; Pet Friendly: Limited; Parking Included: 2 | Size (sqft): Not Available; Furnished: No; Air Conditioning: Yes; Smoking Permitted: No",House,3,1,1,44.7785535,-63.69443,2,0,0,Not Available,0,,21663,20592,13567,13438,77,53,59,1327,1414,695,671
https://www.kijiji.ca/v-apartments-condos/dartmouth/dartmouth-1-bedroom-apartment-for-rent-36-60-65-primrose-str/1670564483,"Dartmouth 1 Bedroom Apartment for Rent - 36, 60, 65 Primrose Str",1829,"65 Primrose Street, Dartmouth, NS, B3A 4C5","Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. Utilities Included Property Amenities Suite Amenities","Parking Included: 0; Agreement Type: 1 Year; Pet Friendly: Yes; Parking Included: 0; Utilities Included: Heat, Water | Size (sqft): 673; Furnished: No; Air Conditioning: No; Smoking Permitted: No",Apartment,1,0,1,44.6853897,-63.5827401,0,1,1,673,0,,5780,5358,1854,580,55,38,41,615,639,250,92
https://www.kijiji.ca/v-apartments-condos/city-of-halifax/3-br-house-in-north-end-halifax/1689371336,3 BR House in North End Halifax,3000,"Leeds St, Halifax, NS B3K","3 bedroom house in north end Halifax (Memorial Drive area). 5 minute walk from NSCC Leeds St.
Rent includes heat, electricity, water, driveway parking for 2 cars. Can include some furnishings if required.
Shared (free) laundry. Home owner lives in basement with dog (separate entrance). Cats are permitted.","Parking Included: 2; Agreement Type: 1 Year; Move-In Date: May 1, 2024; Pet Friendly: Limited; Parking Included: 2 | Size (sqft): 1,792; Furnished: Yes; Air Conditioning: No; Smoking Permitted: Outdoors only",House,3,0,1,44.6681392,-63.6139211,2,0,0,"1,792",1,,3540,3908,1611,875,89,65,,501,452,292,131
https://www.kijiji.ca/v-apartments-condos/city-of-halifax/3-bedroom-1-5-bath-house-for-rent/1673038566,"3 Bedroom, 1.5 Bath House For Rent",2500,"Withrod Drive, Halifax, NS","AVAILABLE MAY 1ST 2024! Welcome to your new home! Nestled in Fairview, this recently updated 3-bed 1.5-bath home is perfect for a family. The home is located just minutes away from major amenities! The home is also pet friendly! The home is unfurnished, and all appliances are included. It is renting on a 1-year fixed-term lease. Utilities are the responsibility of the tenant. This unit is on ground-level and comes with shared driveway parking (1 guaranteed space) as well as free street parking! Highlights: - Large, bright living room.
- Updated kitchen
- Front yard space
- Dog friendly! In-person showings and virtual tour available! Check out this link; https://kuula.co/share/collection/7FzcS?logo=0&info=0&fs=1&vr=1&sd=1&initload=0&thumbs=1 Contact TreePad to schedule a showing! www.treepad.ca","Parking Included: 2; Agreement Type: 1 Year; Move-In Date: May 1, 2024; Pet Friendly: Limited; Parking Included: 2 | Size (sqft): 1,900; Furnished: No; Air Conditioning: Yes; Smoking Permitted: Outdoors only",Apartment,3,0,1.5,44.6313112,-63.6249489,2,0,0,"1,900",0,,4648,4504,2101,1995,89,65,80,642,585,277,278
https://www.kijiji.ca/v-apartments-condos/cole-harbour/4-bedroom-log-cabin-with-loft-full-lake-access/1688016253,4-Bedroom - Log Cabin with Loft & Full Lake access!,3000,"2913 Ostrea Lake Rd, Musquodoboit Harbour, NS","Lakefront Elegance: Your Dream 3-Bedroom Retreat with a 1 bedroom 1 bath private loft. Welcome to your coastal sanctuary, where luxury meets convenience in this meticulously crafted 3-bedroom, 1.5-bath haven. Behold breathtaking 250-degree oceanfront access that graces every corner of this splendid residence. Key Features: Panoramic Views: Revel in the ever-changing seascape from every angle with balconies adorning each area of the residence. Sip your morning coffee while watching the sunrise or unwind in the evening with the gentle sound of the waves as your backdrop. Freshly Painted & Furnished: Step into a space that feels brand new â freshly painted walls set the stage for the chic, contemporary furnishings included in every room. Experience a seamless blend of style and comfort, where every detail has been thoughtfully curated. Maintenance Made Easy: Say goodbye to weekend chores! Your new home comes with lawn maintenance, ensuring the exterior remains as pristine as the interior. Additionally, driveway snow removal is included for hassle-free winter living. Indulge in Coastal Living: Masterful Design: The bedrooms offer a retreat within a retreat, each designed for comfort and relaxation. The 1.5 baths boast modern finishes, creating a spa-like experience in the comfort of your own home. Entertainer's Delight: Host gatherings with ease in the spacious living areas, thoughtfully designed for both intimate evenings and lively celebrations. Your guests will be enchanted by the stunning ocean views and stylish surroundings. Prime Location: This residence is not just a home; it's a lifestyle. Embrace the tranquility of oceanfront living while being conveniently located near local amenities, ensuring the perfect balance between seclusion and accessibility. Your Coastal Oasis Awaits: This is more than a rental; it's an invitation to live in luxury by the sea. Immerse yourself in the coastal lifestyle with the convenience of maintenance-free living. Don't miss the chance to make this dreamy residence your own. Contact us now to schedule a private tour and make this coastal haven your new home.","Parking Included: 3+; Agreement Type: 1 Year; Move-In Date: March 1, 2024; Pet Friendly: Yes; Parking Included: 3+ | Size (sqft): 2,500; Furnished: Yes; Air Conditioning: Yes; Smoking Permitted: Outdoors only",House,4,0,2.5,44.6936169,-63.0561727,3+,0,1,"2,500",1,,58595,61482,54649,57700,89,65,80,3114,3521,2731,3094
https://www.kijiji.ca/v-apartments-condos/bedford/house-for-rent-elmsdale/1688486064,House for rent Elmsdale,2750,"534 NS-2, Elmsdale, NS B2S 1A3","3 Beds 1 Bath - House
532 HWY-2, East Hants, NS B2S 1A3, Canada For rent in Elmsdale.
Bright, spacious 3 bedroom apartment.
Washer, dryer, fridge, stove and dishwasher. Ample parking. Additional storage available in basement. Shared shed. Covered deck. Large property with gardens. Walking distance to Elmsdale Elementary.(5minutes). Just 10 minutes to Hwy 102 and the Airport. Thirty minutes to HRM, 35 to Truro.
Heat and hot water included. Pet friendly with prior approval. No smoking inside.
Snow removal and lawn care included.
Tenant is responsible for power (approx $100. -125. mth) and proof of tenants insurance will be required. References required. Available 30 April 2024. $2750 (heat, hot water, lawn care, no electricity) OR $2400 and utilities /lawn care not paid for.","Parking Included: 3+; Agreement Type: 1 Year; Move-In Date: April 30, 2024; Pet Friendly: Yes; Parking Included: 3+; Utilities Included: Heat | Size (sqft): 1; Furnished: No; Air Conditioning: No; Smoking Permitted: Outdoors only | Barrier-free Entrances and Ramps: No; Visual Aids: No; Accessible Washrooms in Suite: Yes",House,3,0,1,44.957368,-63.5212925,3+,1,1,1,0,,40446,40024,33609,35706,0,0,,1723,1977,1424,1485
https://www.kijiji.ca/v-apartments-condos/dartmouth/dartmouth-bachelor-apartment-for-rent-36-60-65-primrose-stre/1680021740,"Dartmouth Bachelor Apartment for Rent - 36, 60, 65 Primrose Stre",1699,"65 Primrose Street, Dartmouth, NS, B3A 4C5","Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. Utilities Included Property Amenities Suite Amenities","Parking Included: 0; Agreement Type: 1 Year; Pet Friendly: Yes; Parking Included: 0; Utilities Included: Heat, Water | Size (sqft): 538; Furnished: No; Air Conditioning: No; Smoking Permitted: No",Apartment,1,0,1,44.6853897,-63.5827401,0,1,1,538,0,,5780,5358,1854,580,89,65,80,615,639,250,92
https://www.kijiji.ca/v-apartments-condos/city-of-halifax/17-004-cute-2-bedroom-halifax-home-walk-to-grocery-stores/1689310608,17-004 Cute 2 bedroom Halifax home. walk to grocery stores,1800,"McMullen Road, Halifax, NS, B3P 2C2","Description Perfect for a smalll family this charming, bright 2-bedroom home is situated on a quiet street just off Herring Cove Road. Corner lot with deck and large backyard. Perfect for summer entertaining! Quick access to shopping and other amenities, bus routes, Long Lake, swimming and hiking trails. Sunny kitchen with double sinks. Handy mudroom/pantry space off kitchen leading to back deck. Hardwood floors in living room and dining room. Two bedrooms plus one full bath upstairs. Laundry facilities and storage in the basement. Non-smokers please. A pet may be considered. Available now for a minimum of one year. Halifax Quality Homes for Rent Ltd. Tel: 902-445-4952 For a complete list of available houses, flats and condos visit us at: www.HalifaxQualityHomes.com","Parking Included: 1; Agreement Type: 1 Year; Move-In Date: April 5, 2024; Pet Friendly: Limited; Parking Included: 1 | Size (sqft): Not Available; Furnished: No; Air Conditioning: No; Smoking Permitted: No",House,2,0,1,44.6228293,-63.6170786,1,0,0,Not Available,0,,5639,5495,680,986,60,50,41,693,635,85,121
https://www.kijiji.ca/v-apartments-condos/dartmouth/dartmouth-bachelor-apartment-for-rent-15-25-35-leaman-drive/1687346015,"Dartmouth Bachelor Apartment for Rent - 15, 25, 35 Leaman Drive",1649,"35 Leaman Drive, Dartmouth, NS, B3A 2K6","Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. Utilities Included Property Amenities Suite Amenities","Parking Included: 0; Agreement Type: 1 Year; Pet Friendly: Yes; Parking Included: 0; Utilities Included: Heat, Water | Size (sqft): 431; Furnished: No; Air Conditioning: No; Smoking Permitted: No",Apartment,1,0,1,44.6869041,-63.5805506,0,1,1,431,0,,5972,5550,2046,1051,89,65,80,591,673,284,182
https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedrooms-apartment-for-rent-9-54-paige-plaza/1680021792,2 Bedrooms Apartment for Rent - 9 - 54 Paige Plaza,2095,"54 Paige Plaza, Lower Sackville, NS, B4E 0J6","Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. Property Amenities Suite Amenities",Parking Included: 0; Agreement Type: 1 Year; Pet Friendly: Yes; Parking Included: 0 | Size (sqft): 861; Furnished: No; Air Conditioning: No; Smoking Permitted: No,Apartment,2,0,1,44.7703762,-63.6947724,0,0,1,861,0,,21092,20021,12996,12867,54,49,43,1336,1423,704,680
https://www.kijiji.ca/v-apartments-condos/city-of-halifax/23-075-large-family-home-in-pine-bluff-a-beautiful-halifax-area/1685510401,"23-075 Large family home in Pine Bluff, a beautiful Halifax area",4200,"Litchfield Crescent, Halifax, NS, B3P 2N4","Description This unique and spacious family home is located in a wonderful Halifax neighbourhood close to parks, walking trails, Williams Lake Beach, and 2 yacht clubs. Enjoy living in this community of well-kept homes less than a 15-min drive to downtown Halifax. Gorgeous custom kitchen with Corian countertops, custom-built island with breakfast bar, separate prep sink, and cozy bench beside the window. Ideal space for family living or entertaining. Mud room off kitchen with laundry, access to garage and walk-out to deck. Sunken dining or main floor family room with propane fireplace and doors to huge sundeck. Beautiful hardwood floors throughout. Sunroom, bedroom or home office and full bath on main level. Three bedrooms on upper level, the Primary with a 4-pce ensuite and walk-in closet. Second full bath on this level. Basement has family room, ""flex"" room and storage space. Lots of parking in the driveway along with garage. Fabulous outdoor living space with multi-level deck and mature trees for privacy. No Smokers Please. Well-behaved pet may be considered. This spectacular home is available for rent now for a minimum of one year. Halifax Quality Homes for Rent Ltd. Tel: 902-445-4952 For a complete list of available houses, flats and condos visit us at www.HalifaxQualityHomes.com","Parking Included: 2; Agreement Type: 1 Year; Move-In Date: April 1, 2024; Pet Friendly: Limited; Parking Included: 2 | Size (sqft): Not Available; Furnished: No; Air Conditioning: No; Smoking Permitted: No",House,3,0,3,44.6223893,-63.5971345,2,0,0,Not Available,0,,6615,6471,2039,2012,,31,40,777,719,226,219
https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedrooms-1129-sqf-town-house-apartment-for-rent-211-221-gl/1682150403,"2 Bedrooms -1129 SQF Town House Apartment for Rent - 211, 221 Gl",2549,"221 Glenforest Drive, Halifax, NS, B3M 1J3",Current Promotions Saturday March 23rd from 10 am -5 pm. Property Amenities Suite Amenities,"Parking Included: 0; Agreement Type: 1 Year; Pet Friendly: Yes; Parking Included: 0 | Size (sqft): 1,129; Furnished: No; Air Conditioning: No; Smoking Permitted: No",Apartment,2,0,1,44.65687,-63.64882,0,0,1,"1,129",0,,7340,8436,1229,1106,89,65,80,915,856,224,175
https://www.kijiji.ca/v-apartments-condos/city-of-halifax/4-bedroom-house-in-halifax-for-march/1684095786,4 Bedroom House in Halifax for March,3995,"12 Palmer Hill, Halifax, NS, B3N 1S5","This beautiful home is located on a private road in Fairmount - Halifax, NS. Over 4400 SF of living space featuring 4 bedrooms, 3 full and 1 half bath, main floor family room with fireplace, living room, dining room and spacious office/den/bdrm. The huge eat in kitchen boasts of granite counter-tops, center island, abundance of cabinetry & stainless steal appliances. The Master Suite boasts a fireplace, large walk in closet as well as a spa like customized 5 pc en-suite with double air jet tub, separate shower, double sinks & beautiful built ins. Large 14 X 14 rear deck features a covered gazebo. 3 bedroom, 3 baths (4,400 sq ft) $3995 Available: March 1, 2024 Appliances: Fridge Stove Dishwasher Microwave Washer Dryer Garburator Parking: 2 Driveways/Two Garages Policies: No Pets To find out more or schedule a viewing please contact: Catherine Harkins Leasing Agent Tel: 902-444-7368 (RENT) Email: charkins@paramountmanagement.ca","Parking Included: 0; Agreement Type: 1 Year; Move-In Date: March 1, 2024; Pet Friendly: No; Parking Included: 0 | Size (sqft): 4,400; Furnished: No; Air Conditioning: No; Smoking Permitted: No",House,3,0,3,44.6413012,-63.6301224,0,0,0,"4,400",0,,4333,4189,1762,1656,70,51,56,641,584,313,272
